Product Code,Product Description,2014 RRP Exc VAT,2014 RRP INC VAT,BRUSH CODE,MOQ,VAT,Barcode,Notes
ISCPE025007,premo! Sculpey -- Spanish Olive,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025010,premo! Sculpey -- Navy,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025020,premo! Sculpey -- Blush,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025022,premo! Sculpey -- Wasabi,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025026,premo! Sculpey -- Pomegranate,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025029,premo! Sculpey Accents -- Magenta Pearl,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025031 ,premo!  Sculpey Accents -- Purple Pearl,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025033,premo! Sculpey -- Orange,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025035 ,premo!  Sculpey Accents -- Bright Green Pearl,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025038 ,premo!  Sculpey Accents -- Peacock Pearl ,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025040,premo!  Sculpey Accents -- Blue Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025042,premo! Sculpey -- Black,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025044 ,premo!  Sculpey Accents -- Red Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025046,premo!  Sculpey Accents -- Yellow Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025048,premo!  Sculpey Accents -- Green Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025049,premo!  Sculpey Accents -- Blue Glitter,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025051,premo!  Sculpey Accents -- Red Glitter,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025053,premo! Sculpey -- Burnt Umber,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025055,premo!  Sculpey Accents -- 18K Gold,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025057,premo!  Sculpey Accents -- White Glitter,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025061,premo!  Sculpey Accents  -- White Granite ,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025065,premo!  Sculpey Accents -- Gray Granite,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025067,premo!  Sculpey Accents -- Copper,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025092,premo! Sculpey -- Beige,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025093,premo! Sculpey -- Ecru,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025101,premo!  Sculpey Accents -- Pearl,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025129,premo!  Sculpey Accents -- Silver,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025303,premo!  Sculpey Accents -- Gold,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025310,premo!  Sculpey Accents -- Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025323,premo! Sculpey -- Green,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025382,premo! Sculpey -- Cadmium Red Hue,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025383,premo! Sculpey -- Alizarin Crimson Hue,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025392,premo! Sculpey -- Raw Sienna,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025504,premo! Sculpey --Fuchsia,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025505,premo! Sculpey --Turquoise,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025513,premo! Sculpey -- Purple,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025517,premo!  Sculpey Accents -- Antique Gold,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025519,premo!  Sculpey Accents -- Bronze,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025525,premo! Sculpey -- Sunshine,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025527,premo!  Sculpey Accents -- White Translucent,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025529,premo! Sculpey -- Rhino Gray,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025535,Premo Jungle 2 oz ,2.04,2.45,,5,yes,7.16E+11,NEW
ISCPE025540,Premo Twink Twink 2 oz ,2.04,2.45,,5,Yes,7.16E+11,NEW
ISCPE025550,Premo Green Glitter 2oz ,2.04,2.45,,5,Yes,7.16E+11,NEW
ISCPE025562,premo! Sculpey -- Ultramarine Blue Hue,2.04,2.45,,5,Yes,7.16E+11,
ISCPE025572,premo! Sculpey -- Cadmium Yellow Hue,2.04,2.45,,5,Yes,7.16E+11,
ISCS301,Sculpey 30 Piece Sampler,20.71,24.85,,1,yes,7.16E+11,
ISCS3VMB6,"Sculpey III Bright Multi Pack, 12 X 1 oz. (28 g)",12.92,15.5,,3,Yes,7.16E+11,
ISCS3VMP6,"Sculpey III Pastel Multi Pack, 12 X 1 oz. (28 g)",12.92,15.5,,3,Yes,7.16E+11,
ISCSS1,Super Sculpey,10.38,12.45,,3,yes,7.16E+11,
ISCSS1SCULPT,Super Sculpey Firm Grey 1 Ib,14.71,17.65,,3,Yes,7.16E+11,
ISCVMC6,Sculpey III Classics multipack ,12.92,15.5,,3,Yes,7.16E+11,
ISCZSLD1,SUPER SC L/DOLL BEIGE 1LB,14.71,17.65,,3,Yes,7.16E+11,
ISCZSLD2,SUPER SC L/DOLL BRWN 1LB,14.71,17.65,,3,Yes,7.16E+11,
ISCZSLD3,SUPER SC L/DOLL LIGHT 1LB,14.71,17.65,,3,Yes,7.16E+11,
KDS1,WF Draw&Col Dogs&Puppies,3.99,3.99,,1,no,9.78E+12,
KDS10,WF Draw & Col Insects,3.99,3.99,,1,no,9.78E+12,
KDS2,WF Draw & Col Dinosaurs,3.99,3.99,,1,no,9.78E+12,
KDS3,WF Draw & Col Pets,3.99,3.99,,1,no,9.78E+12,
KDS4,WF Draw&Col Cars&Trucks,3.99,3.99,,1,no,9.78E+12,
KDS6,WF Draw&Col Horse&Ponies,3.99,3.99,,1,no,9.78E+12,
KDS7,WF Draw&Col Sea Creature,3.99,3.99,,1,no,9.78E+12,
KDS8,WF Draw & Col Animals,3.99,3.99,,1,no,9.78E+12,
