Line,Code,Description,Ordered,OrderedOut,Price,Value,CBM,Weight,EANBarcode,ITFBarcode,Outer,Inner,Pallets,VAT
,BKHG,Bricks Fire (4424) 134 Pcs Fire Truck,6,1,1.45,8.70,0.0141,1.38,5012128428548,05024004712504,6,0,0.01,1.74
,BKHG,Bricks Fire (4425) 140 Pcs Rescue SUV,6,1,1.45,8.70,0.0141,1.38,5012128428555,05024004712504,6,0,0.01,1.74
150,FSC1-BIAA,"FSC,A4 CASEBOUND PU NOTEBOOK (CDU)",20,2,1.75,35.00,0.0309,12.88,5012128467554,05024004768389,10,0,0.02,7
151,FSC1-BIAC,"FSC,A5 CASEBOUND PU NOTEBOOK (CDU)",20,2,1.05,21.00,0.0170,6.72,5012128467561,05024004768402,10,0,0.01,4.2
152,FSC1-BIAD,"FSC,A6 CASEBOUND PU NOTEBOOK (CDU)",20,2,0.75,15.00,0.0094,3.52,5012128467578,05024004768426,10,0,0.00,3
153,BIPU,"B INSPIRED,A4 WIRO JOURNAL (CDU)",20,2,2.45,49.00,0.0535,21.08,5012128426094,05024004710487,10,0,0.05,9.8
154,BEAR,"STAT, RASCALS 6 MINI NOTEPADS",24,1,0.42,10.08,0.0061,3.32,5012128462948,05024004760772,24,12,0.00,2.02
155,Y7GM123A,"ED WRAP, 3M FEMALE TRAD MIX (FSDU)",36,1,0.48,17.28,0.0473,5.84,5012213229142,05012213299459,36,0,0.05,3.46
156,Y7GM123B,"ED WRAP,3M FEMALE CONTEMP MIX (FSDU)",36,1,0.48,17.28,0.0473,5.84,5012213229159,05012213299466,36,0,0.05,3.46
157,Y7GM123C,"ED WRAP, 3M MALE CLASSIC MIX (FSDU)",36,1,0.48,17.28,0.0473,5.84,5012213229166,05012213299473,36,0,0.05,3.46
158,Y7GM123D,"ED WRAP, 3M KIDS MIX (FSDU)",36,1,0.48,17.28,0.0473,5.90,5012213229180,05012213299480,36,0,0.02,3.46
159,Y7GM123E,"ED WRAP, 3M HAPPY B-DAY  MIX (FSDU)",36,1,0.48,17.28,0.0473,5.94,5012213229197,05012213299497,36,0,0.05,3.46
160,Y7GM123F,"ED WRAP, BRIGHTS MIX (FSDU)",36,1,0.48,17.28,0.0452,6.14,5012213229203,05012213299503,36,0,0.05,3.46
161,Y7GM123N,"ED WRAP,2M PLAIN FASHION FOIL (FSDU)",36,1,0.48,17.28,0.0473,5.54,5012213391177,05012213391184,36,0,0.05,3.46
162,Y7GM123J,"ED WRAP,2M MIXED STRIPE FOIL (FSDU)",36,1,0.48,17.28,0.0473,5.52,5012213256216,05012213299282,36,0,0.02,3.46
163,Y7GM123K,"ED WRAP, 2M CELEBRATIONS FOIL (FSDU)",36,1,0.48,17.28,0.0473,4.88,5012213341257,05012213341264,36,0,0.02,3.46
164,Y7GM123M,"ED WRAP,2M MALE/FEMALE FOIL (FSDU)",36,1,0.48,17.28,0.0473,4.80,5012213341271,05012213341288,36,0,0.05,3.46
165,HPKB,"ED BAGS, 3PK HOLOGRAPHIC / BOTTLE",72,2,0.55,39.60,0.0495,9.52,5012128485725,05024004800522,36,6,0.04,7.92
166,HPKM,"BAGS, 3PK HOLOGRAPHIC / MEDIUM",72,2,0.55,39.60,0.0578,12.68,5012128493126,05024004813539,36,6,0.05,7.92
167,HPKL,"BAGS, 2PK HOLOGRAPHIC / LARGE",72,2,0.55,39.60,0.0504,12.20,5012128493133,05024004813553,36,6,0.04,7.92
168,SRAP,ALB - S/BOOK 40SH SPOT 25X25CM,16,1,1.75,28.00,0.0181,7.66,5012128495809,05024004817759,16,0,0.01,5.6
