Account,Customer Name,Product,Description,EAN,outerQ,InnerQ,Price,Qty,Value,Weight,Prod Height (cm),Prod Width (cm),Prod Length (cm),Outer,InnerB
TO00041,LYNDA MILES T/AS MILES APART,LUG,STAT-LUGGAGE  LABELS PACK OF 30,5012128146664.00,48,0,0.45,48,21.6,0.08,24.5,1,16.5,5024004146668.00,
TO00041,LYNDA MILES T/AS MILES APART,MA18,ALB - SELF ADHESIVE 36 SHEETS,5012128013010.00,18,0,2.34,36,84.24,0.6,28,3,21,5024004013014.00,
TO00041,LYNDA MILES T/AS MILES APART,MCZD,CARDS MONEY WALLETS 4 DESIGNS CUTE,5012128405327.00,160,80,0.13,320,41.6,0.02,0.3,10,18.5,5024004677827.00,5024004677834.00
TO00041,LYNDA MILES T/AS MILES APART,MELM,POLKADOT - 1 X PLASTIC TABLE CLOTH,5012128390944.00,48,24,0.5,48,24,0.08,0.3,22,40,5024004650998.00,5024004651001.00
TO00041,LYNDA MILES T/AS MILES APART,MELN,POLKADOT - 20 X 2PLY NAPKINS,5012128390937.00,24,12,0.5,24,12,0.08,1.5,19.5,22.5,5024004650974.00,5024004650981.00
TO00041,LYNDA MILES T/AS MILES APART,MELS,"POLKADOT - 8 X 9"" PAPER PLATES",5012128390913.00,24,0,0.5,24,12,0.12,2,24,31,5024004650936.00,
TO00041,LYNDA MILES T/AS MILES APART,MELU,POLKADOT - 8 X 9OZ PAPER CUPS,5012128390920.00,24,0,0.38,24,9.12,0.04,8,16,23,5024004650950.00,
TO00041,LYNDA MILES T/AS MILES APART,MGU/4,STAT PENS-8PEARL/MET GEL PENS,5012128082146.00,48,24,0.48,96,46.08,0.08,1.3,9,17.5,5024004082140.00,5024004360231.00
TO00041,LYNDA MILES T/AS MILES APART,MTER,CARDS MONEY WALLETS 4 DESIGNS CONTEM,5012128405334.00,160,80,0.13,320,41.6,0.02,0.3,10,18.5,5024004677841.00,5024004677858.00
TO00041,LYNDA MILES T/AS MILES APART,MYAL/2,PUZZLE - LETS LEARN ALPHABET,5012128344015.00,36,18,0.53,36,19.08,0.16,4,31,20,5024004547649.00,5024004547656.00
TO00041,LYNDA MILES T/AS MILES APART,MYJS,JEWELLERY- MYO SETS (3 DESIGNS),5012128343926.00,48,12,0.53,48,25.44,0.08,21,4,10.6,5024004547465.00,5024004547472.00
TO00041,LYNDA MILES T/AS MILES APART,MYNU/3,EDUCATIONAL-LEARN NUMBERS PUZZLE,5012128344022.00,36,18,0.53,36,19.08,0.16,4,16.5,20,5024004547663.00,5024004547670.00
TO00041,LYNDA MILES T/AS MILES APART,NECC,STAT- NEON A4 CARRY FOLDERS X3,5012128413643.00,24,0,0.48,24,11.52,0.06,0.3,24,33.5,5024004690284.00,
TO00041,LYNDA MILES T/AS MILES APART,NEMI,STAT- NEON MINI HIGHLIGHTERS IN CASE,5012128413650.00,48,24,0.5,48,24,0.08,2,8,12.5,5024004690307.00,5024004690314.00
TO00041,LYNDA MILES T/AS MILES APART,NENB,"STAT-A5 NEON NOTEBOOK, 80SHEETS",5012128413551.00,24,0,0.98,24,23.52,0.26,1,14.5,21,5024004690185.00,
TO00041,LYNDA MILES T/AS MILES APART,NEPS,STAT- NEON X4 PENS,5012128413766.00,48,24,0.48,48,23.04,0.06,1.5,11,23,5024004690444.00,5024004690451.00
TO00041,LYNDA MILES T/AS MILES APART,NERB,STAT-NEON RINGBINDER X4 COLOURS,5012128413568.00,40,0,0.52,40,20.8,0.28,4,25,31.5,5024004690208.00,
TO00041,LYNDA MILES T/AS MILES APART,NERS,STAT-NEON ASSORT ERASER X12,5012128415418.00,24,12,0.52,24,12.48,0.16,21.5,1.2,15,5024004692721.00,5024004692738.00
TO00041,LYNDA MILES T/AS MILES APART,PAGH,PIRATE - 6 X ERASER TOPS & PENCILS,5012128392641.00,48,24,0.52,96,49.92,0.14,30,15,1.5,5024004654538.00,5024004654545.00
TO00041,LYNDA MILES T/AS MILES APART,PAGR,PIRATE - 6 X MINI NOTEPADS 30 SHTS,5012128392672.00,48,24,0.5,96,48,0.06,1,29.7,11.7,5024004654590.00,5024004654606.00
TO00041,LYNDA MILES T/AS MILES APART,PAHN,PIRATE - 20 X PLASTIC LOOT BAGS,5012128390890.00,48,24,0.49,96,47.04,0.04,0.02,31,18.5,5024004650899.00,5024004650905.00
TO00041,LYNDA MILES T/AS MILES APART,PAHO,PIRATE - 10 INVITES & 10 THANKYOU,5012128390906.00,48,24,0.49,48,23.52,0.1,1,26.5,15,5024004650912.00,5024004650929.00
TO00041,LYNDA MILES T/AS MILES APART,PAHP,PIRATE - 8 X PAPER BOWLS,5012128391187.00,24,0,0.5,24,12,0.08,4,24.5,21.5,5024004651476.00,
TO00041,LYNDA MILES T/AS MILES APART,PBOY,PAINT-MAKE YOUR OWN FIGURINES (BOYS),5012128344503.00,24,0,0.53,96,50.88,0.24,24,4,18.5,5024004548677.00,
TO00041,LYNDA MILES T/AS MILES APART,PBZ,PAINT - 4 CHUNKY PAINT BRUSHES,5012128516269.00,48,12,0.5,96,48,0.06,28,1.3,10.5,5024004516263.00,5024004539262.00
TO00041,LYNDA MILES T/AS MILES APART,PCAY,PAINT - ALPHABET SPONGES,5012128269523.00,24,0,0.5,24,12,0.03,2,27.5,32,5024004371909.00,
TO00041,LYNDA MILES T/AS MILES APART,PCHH,CARDS 12 - PORTRAIT CHURCH SCENE,5012128398001.00,24,0,0.48,72,34.56,0.14,2,12,19,5024004665985.00,5024004665992.00
